ID,Área,Categoría,Descripción del check,Check robótico (Claude),Resultado robot,Check humano (Ibai),Notas
,,,,,,,
--- SEGURIDAD ---,,,,,,,
SEC-01,Seguridad,Autenticación,Rutas de API protegidas devuelven 401 sin token,✅ Automatizado,PASS,,
SEC-02,Seguridad,Autenticación,Ruta /api/admin protegida sin token devuelve 401,✅ Automatizado,PASS,,
SEC-03,Seguridad,Autenticación,Token JWT contiene id + email + role + organizationId,✅ Automatizado,PASS,,
SEC-04,Seguridad,Autenticación,Token JWT no está expirado en sesión activa,✅ Automatizado,PASS,,
SEC-05,Seguridad,Autenticación,El role en el token es correcto (superadmin para Ibai),✅ Automatizado,PASS,,
SEC-06,Seguridad,Autorización,Un usuario sin rol workspace no puede acceder a GET /api/workspaces/:id,⬜ Manual,PENDIENTE,☐,Crear usuario de prueba sin membership y verificar 403
SEC-07,Seguridad,Autorización,Un miembro con rol 'guest' no puede modificar ni borrar workspace,⬜ Manual,PENDIENTE,☐,Asignar rol guest e intentar PATCH /api/workspaces/:id
SEC-08,Seguridad,Autorización,Un miembro con rol 'member' no puede invitar a otros,⬜ Manual,PENDIENTE,☐,Intentar POST /api/workspaces/:id/members con token de member
SEC-09,Seguridad,Autorización,Solo el owner puede borrar el workspace,⬜ Manual,PENDIENTE,☐,Intentar DELETE /api/workspaces/:id con token de admin (debe fallar)
SEC-10,Seguridad,Autorización,Un miembro no puede cambiarse su propio rol,✅ Automatizado,PASS (validación server),☐,Intentar PATCH /api/workspaces/:id/members/:myUserId
SEC-11,Seguridad,Autorización,Un miembro no puede eliminarse a sí mismo del workspace,✅ Automatizado,PASS (validación server),☐,Intentar DELETE /api/workspaces/:id/members/:myUserId
SEC-12,Seguridad,RLS Supabase,Las políticas RLS en workspaces previenen acceso cruzado entre organizaciones,⬜ Manual,PENDIENTE,☐,Verificar en Supabase que la policy "Ver solo org propia" funciona
SEC-13,Seguridad,RLS Supabase,Las políticas RLS en workspace_members usan SECURITY DEFINER para evitar recursión,✅ Automatizado,PASS (API responde sin error 500),,,
SEC-14,Seguridad,RLS Supabase,Las políticas RLS en boards/columns/cards están activas,⬜ Manual,PENDIENTE,☐,Revisar en Supabase Dashboard > Authentication > Policies
SEC-15,Seguridad,Tokens,El token se elimina correctamente del localStorage al hacer logout,⬜ Manual,PENDIENTE,☐,Abrir DevTools > Application > localStorage antes y después de logout
SEC-16,Seguridad,CORS,Las peticiones desde dominios no autorizados son rechazadas,⬜ Manual,PENDIENTE,☐,Intentar fetch desde consola de otro dominio
SEC-17,Seguridad,Headers,El servidor no expone información sensible en headers de respuesta (X-Powered-By etc.),⬜ Manual,PENDIENTE,☐,Revisar Network tab en DevTools
SEC-18,Seguridad,Inputs,El campo "nombre de workspace" no permite HTML/scripts (XSS),⬜ Manual,PENDIENTE,☐,Intentar: <script>alert(1)</script> en nombre
SEC-19,Seguridad,Inputs,El campo de descripción de workspace escapa caracteres especiales,⬜ Manual,PENDIENTE,☐,Probar con: '; DROP TABLE workspaces; --
SEC-20,Seguridad,Password Reset,El enlace de restablecimiento de contraseña funciona desde el email,⬜ Manual,PENDIENTE,☐,Solicitar reset → hacer clic en link del email → cambiar contraseña
,,,,,,,
--- AUTENTICACIÓN Y SESIÓN ---,,,,,,,
AUTH-01,Auth,Login,El formulario de login acepta email + contraseña correctos,⬜ Manual,PENDIENTE,☐,Login con ibai@lfi.la
AUTH-02,Auth,Login,El formulario muestra error con credenciales incorrectas,⬜ Manual,PENDIENTE,☐,Intentar login con contraseña errónea
AUTH-03,Auth,Login,"El botón ""¿Olvidaste tu contraseña?"" lanza el flujo de reset",⬜ Manual,PENDIENTE,☐,
AUTH-04,Auth,Sesión,La sesión persiste al recargar la página (F5),⬜ Manual,PENDIENTE,☐,Login → F5 → comprobar que no pide login de nuevo
AUTH-05,Auth,Sesión,Al expirar el token el usuario es redirigido al login,⬜ Manual,PENDIENTE,☐,Manipular token en localStorage para hacerlo expirar
AUTH-06,Auth,Logout,El logout cierra la sesión y redirige al login,⬜ Manual,PENDIENTE,☐,Hacer click en botón de logout
,,,,,,,
--- WORKSPACES — NUEVO EN PHASE 2 ---,,,,,,,
WS-01,Workspaces,Dashboard,La pantalla de workspaces se muestra al iniciar sesión,✅ Automatizado,PASS (200 /api/workspaces),☐,Verificar visualmente que se ve el dashboard
WS-02,Workspaces,Dashboard,Los workspaces existentes aparecen en el grid,✅ Automatizado,PASS (1 workspace retornado),☐,Verificar que aparece "General" o el workspace creado
WS-03,Workspaces,Dashboard,Cada tarjeta de workspace muestra: emoji + nombre + descripción + rol,⬜ Manual,PENDIENTE,☐,Revisar visualmente cada card
WS-04,Workspaces,Dashboard,Las tarjetas muestran conteo de tableros y miembros,⬜ Manual,PENDIENTE,☐,NOTA: endpoint /api/workspaces no retorna counts — ver WS-KNOWN-01
WS-05,Workspaces,Dashboard,El estado vacío muestra CTA para crear primer workspace,⬜ Manual,PENDIENTE,☐,Solo verificable si se borran todos los workspaces
WS-06,Workspaces,Crear,El modal de nuevo workspace abre al hacer clic en el botón,⬜ Manual,PENDIENTE,☐,
WS-07,Workspaces,Crear,El selector de emoji muestra las 12 opciones disponibles,⬜ Manual,PENDIENTE,☐,Verificar que los emojis se pueden seleccionar
WS-08,Workspaces,Crear,El campo nombre es obligatorio (bloquea submit si vacío),⬜ Manual,PENDIENTE,☐,Intentar crear workspace sin nombre
WS-09,Workspaces,Crear,Al crear workspace el creador queda automáticamente como 'owner',✅ Automatizado,PASS (lógica server),☐,Crear workspace y verificar que aparece con rol Propietario
WS-10,Workspaces,Crear,El nuevo workspace aparece inmediatamente en el grid,⬜ Manual,PENDIENTE,☐,
